 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
79,"神域","物語シリーズ",60,8A,34,2026-08-08,01:58,22,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,27,84,94,15,0,30,-11,A minor,3,19pUY2gihl3Lk0mdpVYg6p,"Aniplex Inc.",JPE301000051,no
80,"結界","物語シリーズ",165,11B,1,2026-08-08,01:37,14,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,31,30,27,3,0,10,-22,A,5,0D10mEfrzhlTwDNNWQF59p,"Aniplex Inc.",JPE301103666,no
81,"浄化","物語シリーズ",76,10B,24,2026-08-08,01:52,18,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,66,87,92,4,10,10,-19,D,4,2BTRpuy7IWYnUEkU03hYOL,"Aniplex Inc.",JPE301103668,no
82,"吹き溜まり","物語シリーズ",70,12B,5,2026-08-08,02:34,13,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,50,100,73,24,0,10,-14,E,5,5J2YqT248M6Co8P9xTaNxj,"Aniplex Inc.",JPE301103673,no
83,"戯言","物語シリーズ",95,1A,95,2026-08-08,02:37,14,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,75,40,91,85,0,0,-12,G#/A♭ minor,4,1SILpe6x1XMgOt0Rpfz1Tz,"Aniplex Inc.",JPE301000048,no
84,"渦","物語シリーズ",67,5A,77,2026-08-08,01:31,13,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,50,99,86,17,0,10,-13,C minor,4,3S4asFYqtBTBVHefWssDNY,"Aniplex Inc.",JPE301103687,no
85,"神原駿河の場合〜着衣","物語シリーズ",128,12A,47,2026-08-08,01:53,10,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,93,0,95,67,0,0,-8,C♯/D♭ minor,1,2yuaQTrKHoQWY654B8g8Rd,"Aniplex Inc.",JPE301103694,no
86,"レイニー・デヴィル","物語シリーズ",146,8B,93,2026-08-08,01:40,23,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,72,26,78,59,0,10,-8,C,4,4GfZoU6lGyoJe0Eqni1vkM,"Aniplex Inc.",JPE301103695,no
87,"蛇切縄","物語シリーズ",130,6B,69,2026-08-08,02:04,10,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,43,16,48,4,0,0,-10,A#/B♭,4,3C2ofhJAhfUQEP7NSflGYa,"Aniplex Inc.",JPE301103700,no
88,"色ボケ猫","物語シリーズ",140,8B,88,2026-08-08,02:46,22,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,61,2,88,7,0,10,-6,C,4,1NrOlHEvl5mW5JeNUqqWN1,"Aniplex Inc.",JPE301001708,no
89,"障り猫","物語シリーズ",100,3B,77,2026-08-08,02:34,15,"anime, j-pop","","Bakemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,68,0,66,40,0,0,-8,C♯/D♭,4,3e8O76ASG3nbzGv1lvyVVQ,"Aniplex Inc.",JPE301103705,no
90,"Supergirl","The Troggs",125,10B,78,2026-08-08,02:40,2,"proto-punk","","The Trogg Tapes",1976-04-08,64,11,43,89,10,30,-11,D,4,4PUESp1KcWHmrysqnabaDd,"Private Stock Records",QM6MZ2175744,no
91,"After the Rain","The Troggs",115,11B,52,2026-08-08,02:50,6,"proto-punk","","The Trogg Tapes",1976-04-08,62,10,0,78,0,0,-13,A,4,4FH8W3kc28oSvn3ytU4Kzz,"Private Stock Records",QM6MZ2175747,no
92,"The Univers","Sawano Hiroyuki",66,8A,9,2026-08-08,04:22,23,"anime, soundtrack","","MOBILE SUIT GUNDAM UNICORN Original Motion Picture Soundtrack 1",2010-09-09,28,84,89,6,0,0,-18,A minor,4,3wKeGDfk7cFouP3QK81PwZ,"SUNRISE Music Label",JPP301000063,no
